,0
204,"Python Developer (Algo Trading)Python Developer - One of the industry's truly pioneering FinTechs's are looking for a Python Developer to join their innovative team. The Developer will have the chance to gain exposure to cutting edge tech on a daily basis.The company is a global algorithmic trading company. They boast an employee centric approach. The team environment is second to none which is not the norm in trading environments, these guys put you first.You as the successful Developer will be utilising cutting edge financial trading technology and be able to have a big say when it comes to technical direction and team growth and best practices. You will work in a highly skilled team of developers working in a very highly transactional, multi-threaded environment and be given the chance to bring ideas and innovation to the table.Looking for a Python Developer with the following:* Strong background in Python Software Development* Knowledge in Java Development would be a good advantage* A keenness to keep learning new things* Computer security is also a big bonus* Wants to progress your career rapidly in an innovative FinTech company Tech Stack Used: C++ 11, Jenkins, Python, Boost, GoogleTest, Scala, Java, reactJSTo apply to the role please click the “apply now” button below.FIRESOFT People is a multi-award winning consultancy having been recognised across Australia for excellence in small business and one of Australia's coolest places to work. Our people love working here and that passion really shines through when working with you. We're obsessed with shaking things up a bit to make working with a consultancy enjoyable, valuable and specifically tailored to YOU! We understand it can be stressful and challenging while trying to find a new job or build a team so we're here to be open, honest and transparent through the process; to educate you and support you as much as possible to ensure you're kicking goals - whatever those may be!   FIRESOFT People is also passionate about “Giving everybody a fair go"" and we encourage candidates from all cultures and backgrounds to apply.  "
205," 
Australian Catholic University (ACU) is both a Catholic University and a public institution within the Australian higher education sector.  ACU is an inclusive community which welcomes students and staff of all beliefs.
ACU is a recognised leader in research in education. In the 2018 Excellence in Research for Australia (ERA), ACU performed strongly across the diverse range of education research, ranking at world standard in “Education Systems”, above world standard in “Curriculum and Pedagogy”, and well above world standard in ""Specialist Studies in Education"".
Institute for Learning Sciences and Teacher Education (ILSTE) 
The Institute for Learning Sciences and Teacher Education (ILSTE) is a national research institute hosting a team of eminent researchers and international scholars undertaking nationally- and state-funded research studies with a range of industry partners.  Our research investigates curriculum innovation and assessment reform K-12; teachers’ professional practice and related standards including in initial teacher education; literacy and numeracy education; the use of new technologies to support learning; STEM, and learner diversity and engagement.
Areas of expertise
We are looking for research assistants to join a vibrant research community.  Project experience in managing and analysing quantitative data for social science research is essential, with expertise in the following areas:

data management (updating, cleaning and maintaining records) of large datasets;
statistical analysis and modelling techniques for education or social data including factor analysis, linear regression and multilevel regression analysis;
interpretation of results from statistical analysis for reports and academic papers;
competency using sophisticated statistical software such as Stata and R.

Experience in the following areas is desirable:

statistical analysis of longitudinal survey or administrative data;
preparation of ethics approval applications;
academic writing, including preparation of academic papers.

About you
You will have a degree with a high statistics content for analysing education or social data and relevant research experience.
You will have well-developed interpersonal and written communication skills, and capacity to work as a team member.
For further information, please contact Janet Wilks via email janet.wilks@acu.edu.au
How to apply:
To lodge your Expression of Interest, please email Janet Wilks, janet.wilks@acu.edu.au and attach a cover letter addressing the above areas of expertise, a CV, copies of qualifications and indicating your availability.
 
This Expression of Interest closes on October 6, 2020
 
 "
206," 
Australian Catholic University (ACU) is both a Catholic University and a public institution within the Australian higher education sector.  ACU is an inclusive community which welcomes students and staff of all beliefs.
ACU is a recognised leader in research in education. In the 2018 Excellence in Research for Australia (ERA), ACU performed strongly across the diverse range of education research, ranking at world standard in “Education Systems”, above world standard in “Curriculum and Pedagogy”, and well above world standard in ""Specialist Studies in Education"".
Institute for Learning Sciences and Teacher Education (ILSTE) 
The Institute for Learning Sciences and Teacher Education (ILSTE) is a national research institute hosting a team of eminent researchers and international scholars undertaking nationally- and state-funded research studies with a range of industry partners.  Our research investigates curriculum innovation and assessment reform K-12; teachers’ professional practice and related standards including in initial teacher education; literacy and numeracy education; the use of new technologies to support learning; STEM, and learner diversity and engagement.
Areas of expertise
We are looking for research assistants to join a vibrant research community.  Project experience in managing and analysing quantitative data for social science research is essential, with expertise in the following areas:

data management (updating, cleaning and maintaining records) of large datasets;
statistical analysis and modelling techniques for education or social data including factor analysis, linear regression and multilevel regression analysis;
interpretation of results from statistical analysis for reports and academic papers;
competency using sophisticated statistical software such as Stata and R.

Experience in the following areas is desirable:

statistical analysis of longitudinal survey or administrative data;
preparation of ethics approval applications;
academic writing, including preparation of academic papers.

About you
You will have a degree with a high statistics content for analysing education or social data and relevant research experience.
You will have well-developed interpersonal and written communication skills, and capacity to work as a team member.
For further information, please contact Janet Wilks via email janet.wilks@acu.edu.au
How to apply:
To lodge your Expression of Interest, please email Janet Wilks, janet.wilks@acu.edu.au and attach a cover letter addressing the above areas of expertise, a CV, copies of qualifications and indicating your availability.
 
This Expression of Interest closes on October 6, 2020
 
 "
207," My client a leading financial services organisation is looking for a senior data engineer to join their team on this initial 6 month contract positionAbout the roleYou will play a key role in servicing the Data engineering requirements of this organisation, working as part of small project-based teams you will be responsible for overseeing and upskilling more junior members of the team as well as performing hands on Data Engineering coding:Designing the dataflowsWork closely with internal stakeholdersProvide scalable solutionsSome data analysis tasks as requiredKey skillsTo succeed in this role, you will be highly proactive and have significant experience as a Data Engineer in complex environments providing hybrid cloud and on-prem solutions.Experience with cloud technology GCP, AWS or AzureExpert knowledge of ETL toolsExpert level python is requiredCI/CD experience and knowledge of version control such as GitExperience with ML pipes and AI/ML environments is highly desirablePrevious experience within Financial Services is advantageous BenefitsAs the successful candidate you receive a competitive daily rate, work on interesting projects and a high chance of extending beyond this initial 6 month project. If you feel you fit the above profile, APPLY NOW! Due to a high number of applicants only successful candidates will be contacted.Robbie BellTechnology & DigitalBI, Data & AnalyticsRecruitment ConsultantLet's Connect*https://www.linkedin.com/in/robbiebell13/*+61 3 9604 4206By submitting your resume and other personal information with this application you are consenting to this information being collected in line with our privacy policy. Follow the link to learn more - www.greythorn.com.au/privacy-policy"
208,"Are you a Data Analyst looking for a contract role to commence ASAP for an initial 6 month period? Are you interested in a role that is equivalent to an EL1 level? Are you an Australian Citizen with a current Baseline or the willingness to obtain one?Our Government client is presently seeking several Data Analysts to join them commencing ASAP. The successful applicants will be accountable for leading and reporting on complex and sensitive data-driven initiatives within the Department. To be considered this role, you will possess:Work with a focus on research, analysis and judgement to manage complex issues;Solve highly complex data problems that impact on strategic or operations outcomes;Oversee and validate data and reports for consistency, accuracy and completeness;Perform qualitative and quantitative data analysis;Prepare reports and presentation;Document methodologies and requirements; andActively manage key stakeholder relationships internally and externally.Due to the nature of this requirement, Australian Citizens need only apply.To register interest in this role either contact one of our friendly Compas staff on 02 6230 0233 or send your CV by following the link below.YOUR APPLICATION WILL BE TREATED WITH THE STRICTEST CONFIDENCE "
209,"Currently seeking an experience Data Analyst Visualisation Specialist for an initial contract to June 2021 with extensions options. As a Data Analyst Visualisation Specialist, you will work both in a traditional data warehouse and modern cloud-based environment.Key Responsibilities:Develop and automate delivery of open data products, e.g. IPGOD, TM-LinkDevelop an online interactive presentationAd hoc data analysis, including supporting internal research and responding to queries from external agencies and academiaDelivery of reports by analysing data, producing visualisations, and writing high quality reports for internal and external stakeholdersAbout you:Experience in data analysis skills, including independently building, querying, testing, and validating datasets and providing data extracts and analysis to inform decision makersExperience in developing interactive data visualisations using Tableau or PowerBIExperience in documenting data processes, data dictionaries, data applicationsExperience using a range of modern and legacy RDBMS systems, as well as cloud storage solutions such as AWS S3, and familiarity in the development of data processing pipelinesTo be considered for the role click the ‘apply’ button or for more information about this and other opportunities contact Mirinda on 02 6151 9203 "
210,"UTS Faculty of Engineering & Information Technology / UTS Future Mobility Lab   The UTS Future Mobility Lab, sitting within the Data Science Institute has applications open for a scholarship opportunity for talented and highly-motivated students to study how to use data science and machine learning problems to solve transportation and smart city problems. Opportunities are anticipated to commence in January 2021.   The project is “A.I. for traffic and congestion management” and it is calling for applications for a PhD scholarship under the supervisory team of Dr. Simona Mihaita and Distinguished Professor Fang Chen. Candidates with strong research track record including publications in transport/civil engineering, computer science, mathematics and relevant disciplines are encouraged to apply. Previous research experience in statistical machine learning, optimization and deep learning is a plus.     Project description: Managing traffic represents a true challenge for all traffic centres around the world, especially under an ever growing urban population living in cities. The increased traffic congestion is linked to an increased data availability from transport modes in the city, whether it is regular or public transport, shared or on-demand services, electric scooters, etc.   This PhD project aims to study and apply various Artificial Intelligence algorithms and build a smart modelling framework that would help manage traffic across all available modes in a city, under both regular and disrupted traffic conditions (incidents/public events/travel restrictions due to pandemics, etc.). This implies to a combination of multidisciplinary research from computer science and transport modelling.   The first part of the PhD will focus on conducting an intensive state-of-art usage of AI techniques for managing transport across the globe, followed by the construction of a modelling framework on a real-city study. This will be alimented by the best performing machine and deep learning models to predict traffic congestion and travel patterns across all travel modes in advance. While recurrent traffic modelling back-up by AI can provide good insights on traffic patterns, incidents/public events or temporary travel restrictions are stochastic events which have unique features changing dynamically in time.   The second part of this project will aim at extending the modelling framework for early anomaly detection across all transport modes which can help to release early traffic alarms to operators for taking action.   The last part of the PhD will consist in consolidating results and writing up the PhD thesis.   About the Scholarship  This work is funded under the ARC Linkage Project LP180100114, a joint collaboration between UTS, Data61, Swinburne University of Technology and 2 major universities in Singapore: NUS (National University of Singapore) and NTU (National technology University of Singapore).   Regular meet-ups and workshops will be organising for presenting new findings and to learn from new techniques applied both in Australia and Singapore. Domestic students are highly encouraged to apply.   Scholarships are available for high quality applicants. The scholarship is $33,000 AUD per year for three years.   About you  Demonstrated self-motivation and commitment to work on challenging research topics Demonstrated experience in undertaking research in the fields of computer science, transport engineering or automatic control Excellent written skills evidenced by scientific journal papers, conference papers, or technical reports Excellent interpersonal and oral communication skills Ability and capacity to implement required health and safety policies and procedures Master Degree by research or First-Class Honours with strong academic record Major: Computer Science, Civil Engineering, Mathematics Domestic students or international students (meeting UTS English Proficiency requirement)   Our vision is to be a leading public university of technology recognised for our global impact. We are a dynamic and innovative university, ranked by the Times Higher Education as Australia’s  top young university, and located in one of the world’s most liveable cities. With a culturally diverse campus life and extensive international exchange and research programs, UTS prepares graduates for the workplaces of today and tomorrow.    How To Apply   Applicants must meet the eligibility and has the desire to pursue research in the proposed area.   Students should meet the UTS admission requirements to UTS PhD program. The minimum eligibility requirements for admission are available at https://www.uts.edu.au/future-students/postgraduate/essential-info/admission-requirements   Candidates must lodge their applications by email (including the following documents to adriana-simona.mihaita@uts.edu.au  your CV reflecting most updated working experience and studies – applicants with obtained pre-existing PhD will not qualify for scholarship. your official grades and transcripts from both undergrad and Masters – candidates are recommended  to be in top 20% of GPA marks. your research proposal ideas on the topic/s –  You need to build a research proposal on your chosen topic that you would like to do in your PhD at UTS in the Future Mobility Lab; overall your proposal should contain: literature review, problems to solve, method proposed to be deployed and research plan for each of the 3 years of PhD. Proposal topic should be of general interest and not restricted to a country/region/case study. I am flexible here as long as you have a very good research strategy that you want to do during the next 3 years.  Masters thesis manuscript (final) or Bachelor thesis manuscript with a research component, a cover letter (max 1 page), outlining how your profile fits the PhD position, and saying why do you want to do a PhD in Australia. Preprints (drafts) of all your paper publications/posters for conferences/book chapters  – minim 1 or 2 are required to be already published in ENGLISH venues/journals. Please send pdfs of all your publications with links on where they were published. By papers we mainly refer to : approved international conferences/ journals/book chapters with PEER – REVIEWS. If no paper published yet, please send your drafts or get back to us when ready. 2-3 referees (academic/industrial supervisors, co-authors): name, position and email, proof of English proficiency for internationals (this can be applied as well after the deadline or when the IELTS centres will open in your country)– IELTS or TOEFL is required for the UTS IRTP/IRS application at step 3 (see below), with the following minimal requirements:  IELTS (Academic): min 6.5 overall, writing 6.0 – mandatory, OR TOEFL (Internet-based):  79–93 overall, writing 21 – mandatory This can be applied even after the application deadline for PHD but needs to be obtained in the next consecutive 3-4 months.   Dr. Simona Mihaita Future Mobility Lab Faculty of Engineering and Information Technology University of Technology Sydney Sydney AUSTRALIA   Closing Date: Thursday 29th October 2020 at 11.59pm (AEST)"
211,"A leading global consultant is looking to add an enthusiastic and talented Mid Level Technical Business Analyst for their join an exciting project with in the financial domain. Starting on a 6 months contract this is a long term assignment (possible contract to perm or multiple extensions) and would suit a candidate looking to continue to build their career. The ideal candidate would come from a Development or Technical background with good experience working with Big Data, Hadoop and complex SQL Queries. A blend of experience required for the role:  Min 2 years experience working on Hadoop and Big Data Projects Min 2 years experience as a Technical Business Analyst Ability to investigate business problems, elicit and document requirements to meet business needs Experience working in the Banking or Financial Domain. Relevant Tertiary Qualifications or Industry Certificates This is an exciting new role, and my client will interview at short notice. For more information on this role please contact Paul Butler or Binh Luu and send your resume to info@bridgeapac.com.au. Apply now!!!"
212,Company OverviewLeading financial services institution looking to hire a Technical Fraud Analyst with a strong background in ACI Proactive Risk Management and SQL programming. The compliance team within the retail banking division has a strong project pipeline for 2020 - 2022 so is looking to grow its team with two new hires.Role OverviewThis position will be primarily hands on from a technical perspective. The business currently uses ACI Proactive Risk Management to manage fraud across all products. The position will involve establishing machine learning capability as well as SQL programming to write rules for the system.Skills and Experience  Experience with ACI PRM Technical background across SQL programming and analytics Exposure to machine learning concepts ideal Knowledge of the retail banking space  What’s on offer? Permanent role within a leading name in the market. Growing team offering strong career progression potential.Apply now via the APPLY button or contact Chris Gray on 02 9240 6318 at Profusion Group
213,"Senior Engineer (Big Data)  Sydney  $160k + Super  Global AI house require a Senior Big Data Engineer who can who can produce beautiful & functional code to solve complex analytical problems.  Key Responsibilities Evaluating, maintaining, developing and testing big data solutions for advanced analytics projectsBig data pre-processing & reporting workflows, including collecting, parsing, managing, analyzing and visualizing large sets of data to turn information into business insightsTesting various machine learning models on Big Data, and deploying learned models for ongoing scoring and prediction.Key Requirements Expert-level proficiency in at-least one of Java, C++ or Python (preferred). Scala knowledge is a strong advantage.Hands on experience in data management tool like Cloudera Hadoop / Cloud computing platforms (AWS/Azure ML/GCP).Experience in high-volume data processing applications and enterprise application integration like Ab Initio will be highly regarded.Strong understanding and experience in distributed computing frameworks, particularly Apache Hadoop (YARN, MR, HDFS) and associated technologies -- one or more of Hive, Sqoop, Avro, Flume, Oozie, Zookeeper, Impala, Kudu, etc.If you feel you possess the relevant skills to the above, apply now with most updated Cv. "
214,"Our ClientDue to growth our client has an opportunity for a technical Data Analyst to provide data analytics services to a business critical function. The RoleThe successful candidates will have extensive experience across the full data lifecycle - from acquiring data to developing models through to reporting and creative visualisations. The successful candidate will be passionate about data with an ability to focus on the little things - as well as big picture. We are looking for candidates have the ability to present large complex datasets in creative and appealing visualisations.Experience expected;Relevant experience developing models and algorithms to gain further insights into complex datasetsHands on experience with PowerBi, Alteryx or similar technologiesExperience in supporting specific business functions with your data insightsDemonstrated track record of collaborating with others to gain the most of the dataProven capabilities in managing stakeholder relationship managementExpertise in programming languages such as Python and RAustralian Citizenship is a mustThis is a role that offers both longevity and a competitive package. You will have the opportunity to apply your in-depth knowledge and make your mark on this great organisation.Finite Recruitment specialise in architecture positions. If you are interested in this role, or any related opportunities, please apply or contact William for a confidential discussion on (03) 9617 3909."
215,"MTP Services provides IT Contracting and Professional Services to the Canberra Market. Join a talented team and work in a culture that fosters an inclusive and flexible work environment, offering opportunities to grow and contribute to the company.Due to the nature of engagement, Australian Citizenship is an essential requirement. Baseline security clearance is highly preferred! Our client is looking to engage Data Analysts in multiple locations - Brisbane, Adelaide and Newcastle. There are a total of seven positions available!Total Positions Available  Data Analysts - 7 positions available Data Governance Officer - 2 positions available Data Quality Analyst - 1 position available Data Life-cycle Officer - 2 positions available  OverviewOur client has mobilised many teams to very quickly design, deliver and manage the JobKeeper program to support the Australian community through an extremely challenging environment. Smarter Data has mobilised a multi-disciplinary team to focus on the data and analytics program that underpins JobKeeper from working with large volumes of data, building analytical models, enabling integrity measures and generating reporting insights, reinvention initiatives. The data analyst uses their expertise in relational databases to build queries that support discovery, reporting insights and models.  Deep SQL expertise in large enterprise systems (preferably Teradata but not limited to) EDH skills and experience Query optimisation and best practices Basic data modelling for business intelligence Experience in Hadoop-based SQL platforms (Hive/Impala etc)  Responsibilities:  Produce SQL scripts and use other data analytical software tools to undertake and manage complex research and analysis or data extraction associated with identifying and sizing compliance risks, monitoring and profiling, program evaluation, trend analysis and data collection Be accountable for specific data analysis tasks, including providing specialised advice and recommendations, monitor project and work progress and manage priorities Utilise analytic techniques and methods independently to develop technical data solutions to achieve business outcomes Gather and investigate data and statistical information from a variety of sources to undertake business system and solution design; consider identified risks, trends, impediments and opportunities and develop and implement strategies to address them Manage relationships with stakeholders across a range of issues to influence desired outcomes and to achieve work area and agency goals Work collaboratively to utilise analytic techniques and methods to develop technological situations to achieve business outcomes Identify and resolve complex problems using specialist knowledge and experience, identification and development of ideas, analysis of alternative courses of action and their implications  Ideal Candidate:  Thrives in a highly dynamic environment and deals well with uncertainty. We are a team of many moving parts and our ideal candidate will need to adjust their approach depending on audience. Integration and collaboration is key, as well, the ability to pivot quickly and cover gaps to ensure the success of our team overall. The successful candidate(s) will use data analysis skills to deliver requirements, analyse, process data and documentation to support delivery of a number of data and analytics initiatives for the Jobkeeper Program. This includes data on-boarding and exchange, development of risk and assurance models, data visualisation and the delivery of business compliance initiatives. The candidate will enable business reporting and decision making by working with our designers to make data accessible and consumable.  If this sounds like the role for you - PLEASE APPLY NOW!For further information regarding this role and other opportunities feel free to contact Sonali via sonali.chhabra@mtpservices.com.au"
216,"Highly Experienced Software Engineer - seeking someone to replace the incumbent in an existing position.The position is primarily a technical hands-on role, with responsibility for the AS LDM from UML through to generating platform specific modules to support integration work. It also requires adaption of an existing data model in accordance with operational and integration needs as directed.Once the AS LDM has been developed there will be an ongoing requirement to maintain it in accordance with Army operational needs. The position also requires software integration of sub-systems into platform architectures using Data Distribution Service (DDS) or other selected protocols, including writing interface software.The position will further require development of software test tools and simulators to verify system and sub-system compliance with the AS LDM.It is expected that the majority of services delivered under this contract will be in the ACT. Some interstate travel may be required to support project stakeholder acquisition and sustainment activities, working groups, as well as field trials or exercises. International travel may be required to support Army engagement priorities.Develop and maintain the AS LDM to meet Australian needsContribute to Australian feedback to international land data model working groupsModify and extend the AS LDM as required by Army to support new capabilitiesGenerate platform specific modules based on the AS LDMAssist integration of the AS LDM into current and future capability systems, including software simulatorsExtending the AS LDM for use in protocols other than DDS and on platforms other than vehiclesProvide options for innovative solutions to data model issues and future developmentsAssist with verification and validation of DDS compatible executable and library filesDevelop software tools to enable verification and validation of AS LDM implementationsParticipation in system verification, validation, and other testing as directedProvision of other services as taskedHighly Desirable:Experience with Unified Modelling Language (UML)Experience with a UML tool such as IBM Rational Rhapsody or Sparx Systems Enterprise Architecture.Understanding of how to generate UML Platform Independent Modules, and translate these to Platform Specific Modules to support DDS node developmentAbility to write object oriented software to interface sub-systems with a DDS busExperience writing virtual test tools to verify software interfacesExperience with software simulation systemsAbility to liaise with Defence and industry stakeholders and facilitate industry engagementFamiliarity with Australia, UK or NATO GVA standards and Land Data ModelsExperience with a DDS tool such as RTI, PRISMTECH or OpenSpliceImmediate start for right candidate so submit your CV now."
217,"Overview
Talent Street is currently seeking a Senior Data Analyst for a long-term contract based in Canberra, ACT with Federal Agency. The Sr. Data Analyst will be part of the team and will have extensive experience in Data Science Methodologies, Data Visualisation & Analytics.
Mandatory

Demonstrated experience analysing and producing data visualisations and analytics tools to allow users to explore data and personalised insights.
Represent the department in negotiations to access and agree usage parameters for data sources.
Explain methodologies for the representation of data to non-technical audiences in formal and informal settings.
Curation, QA and automation of datasets to power online tools and information.

 Desirable

Exposure and demonstrated experience applying data science methodologies to provide informed insights to users.

Eligibility : Must have current baseline clearance

If interested, Kindly reach Felix Francis at ffrancis@talentstreet.com.au"
218,"Ventia is excited to announce a new vacancy available for a Senior Data Insights Analyst who will support the enablement of self-service reporting & analytics capabilities for all business units and sectors. This role is a permanent full-time position and can be located in Sydney or Melbourne.Key areas of accountability for this position are:  Work with stakeholders and direct teams to define their requirements and build data assets Enable self-service reporting & analytics capabilities across the organisation Work closely with Data Engineers and Data Scientists to design, build and deploy data models for business consumption Support the deployment of standard Data Assets & tools Enable the organisation to realise value with Data and Analytics  Further details are below; Define business requirements by analysing the problem, facilitate workshops, and assist in defining solution Perform complex ad hoc data analysis to validate requirements and to present information and findings to the business Work with the broader Data & Analytics team to design, build and deploy the self-service data assets  Leverage domain knowledge of data lakes, data warehouses, reporting and BI solution and architecture to develop fit for purpose data assets Provide ongoing support the business teams to ensure re-use of developed assets and alignment of new requirements to the defined data architecture and self-service capabilities  Set standards and procedures to enable self-service data and features to pass through the complete data/analytics lifecycle, from prototyping through to automation and production at scale We are seeking someone with the skills and proven ability to drive the adoption of self-service reporting and analytics throughout a business, therefore gathering requirements and strong negotiation skills are required alongside: Strong in senior client engagement and aligning reporting and analytics solutions to business needs Excellent communication skills, both verbal and written Experience in tools and languages such as SQL, SAS, Power BI, R, Python is critical  7+ years’ experience in BI, Data Analyst or Insights Analytics roles  Experience with data warehouses and dimensional modelling, in particular building effective presentation layers Experienced with data governance best practises to enable self-service reporting and analytics at enterprise scale Qualifications in Computer Science, Information Management or Business Analytics, or equivalent.  We acknowledge the importance of our people’s diverse experiences, talents and cultures that they bring to work with them each day. The creation of a Diverse and Inclusive workforce is central to our ability to unlock potential and create a high-performance business. Aboriginal and Torres Strait Islander people are encouraged to apply for this vacancy.Applications close on Sunday 4th OctoberPosition Reference Number:111121 Support the enablement of self-service reporting & analytics capabilities. Permanent role, located in Sydney or Melbourne"
219,"Responsibilities: Essentially a Data all rounder, someone who is capable of working as a Developer as well as a Tech BA/Data Analyst with a capability of working hand in hand with business stakeholders Contributing to the end to end design, including but not limited to, data identification, ingestion, and implementation of back end function, provide insightful analytics, and develop front end reporting screens and dash boards.Preparing insightful management information/dashboards for the business and other stakeholders to demonstrate the value of the function and highlight new/emerging risks identified by monitoringConducting analysis of organizational needs and goals for the development and implementation of application systemWhat we need:Ability to perform data discovery of tables using SQL and then generating results working in close collaboration with the businessExperiece building those results/findings using SQL in the form of models and executable code. Testing experience - someone who is capable of then eventually testing those models as well. Top notch SQL skills (Must) Decent documentation skills.Big data platforms - current environment is Teradata and moving to Microsoft azure, experience with either of these 2 platforms is good to have.Strong communication and stakeholder management skills needed as you would be working very closely with the business. Python experience (Advantage) If this position interests you, please submit your resume via the 'Apply Now' button. For further information please contact Manny Saluja on 0426556246   "
220,"My client, a health organisation, is currently looking for a Senior Data Engineer to join their Data squad in Sydney. They are addressing major social & health issue and are 100% social impact oriented. If you want to have an interesting technical role and contributing to society at the same time, this role will be for you! They have been growing their data platform on AWS. Your role will be to build real-time data pipelines using Spark Scala across several of their products. This role may involve some API development on java as well as automation work through AWS CI CD tools. If you are interested in this opportunity or looking for a Big Data / Data Science role in Australia, please get in touch with me! Job Responsibilities – Senior Data Engineer  Take part in the development of a real-time data product Build microservices for data consumption API’s – set up data pipelines using Spark Engage with a wide range of stakeholders and provide them with appropriate solutions (Data scientists, business stakeholders…)  Requirements – Senior Data Engineer  Previous relevant experience in Data Engineering – Java, Spark, Scala Experience with cloud technologies (AWS, Azure or GCP) Passionate about building data solutions  If you would like to hear more about this role, then don’t delay, get in touch with me today! Click on the APPLY button"
221,"Actively seeking a Python Developer with expertise in AWS on behalf of a fast-growing Global Medical Devices company based in Sydney who has a large presence here and in the US.About the role  You will be responsible for performing software development, design, and testing. Building and advancing digital solutions and applications that are critical to patient support alongside developing and then deploying AWS solutions. High impact opportunities, joining a high-performing team with a company that provides global medical solutions that have a significant impact on patient lives.   What you need:  Computer Science, Engineering or Science degree (preferred) Program experience using Python Good understanding of cloud networking concepts Developing and deploying in AWS  Machine Learning experience or knowledge is a big bonus  Perks  Competitive salary and package on-site gym and pool Share options available Great global growth High impact opportunities  Joining a high-performing team  Apply now"
222,"Permanent Reporting Analytics Lead role with a well-established global company. Your new company  This global company are the leader in their field and deliver specialist equipment and solutions for the food and beverage services industry. They view data as a key enabler of their continued growth and future success and are looking for a Reporting Analytics Lead to join their regional team here in South Australia.  Your new role You’ll be key in helping to drive and implement the data analytics strategy and enabling a data-led decision-making culture across the business. Working closely with people at all levels of the organisation, you’ll be responsible for capturing their data reporting requirements and implementing solutions that enable superior insights and business success. You’ll need to shape and implement a robust data solution, which will involve researching new data capture methods, conducting data structure analysis and creating a design data model for visual analytics solutions. You’ll enable digital analytics reporting and tracking infrastructure and manage its evolution over time.   What you'll need to succeed This exciting new position needs a self-starter who is passionate about data and how it can enable the business. You’ll be a problem solver with very good stakeholder engagement and communication skills. You’ll be able to take the lead and run projects, improve business processes and help to drive positive change.Experience with data visualisation and business intelligence tools (experience with Power BI is desirable)Superior analytical skills with proficiency in a broad range of data analysis SQL, SAS and intelligence generationExperience working with ERP & CRM systemsExperience working in matrixed environment with many cross-functional partnersExperience in Consumer Goods, Commercial Analytics/Forecasting or Sales OperationsA degree in Business Analytics, Finance, Engineering or a related discipline What you need to do now If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV, or call Abhinav Sharma on 08 7221 4189 for a confidential discussion about the role.   If this job isn't quite right for you but you are looking for a new position, please contact us for a confidential discussion on your career.  At Hays, we value diversity and are passionate about placing people in role where they can flourish and succeed. We actively encourage people from diverse backgrounds to apply. SA Licence number : LHS 297508"
223," 12 month contract  Federal Government Agency  Canberra Location   About the companyKarlka Recruiting Group has partnered with a Federal Government Agency to engage an APS6 Policy Data Analyst. This position is located in their busy Canberra office for an initial 12 month contract.  Duties  Extracting data from a range of sources Undertaking research and analysis on labour market issues  Collating information and preparing reports Communicating findings in an easily understandable way, including for non-technical audiences Liaising with stakeholders in local areas Managing stakeholder requests for information  Requirements/Skills  A good understanding of the Australian labour market and related data well-developed written and oral communication skills good research and analytical skills be results oriented, highly motivated and committed to building productive working relationships and delivering high quality outputs. Advanced Excel skills   How to ApplyDue date: 29 September 2020Consultant: Sang Email for questions: recruitment@karlkarecruiting.com.au*Please apply through this portal. Any applications through email may be missed. Only shortlisted candidates will be contacted for further discussion. Applications received after the due date may be considered for similar roles."
224,"Adobe Campaign Analytics Manager required help business fully adopt Adobe analytics throughout the business effectively for campaigns, insights, marketing. Primarily the role is to ensure the business is and will effectively use Adobe analytics for all marketing campaigns, What You’ll Do  Deliver takeaways by capturing insights from various dashboards and key stakeholders (Marketing Customer Insights, Centers of Excellence, Campaign & Regional Marketing), identify and document regional opportunities and gap. Understand marketing funnel steps performance model for the various Creative customer audiences in EMEA. Provide inputs for internal communication vehicles (weekly updates, newsletter, Quarterly Marketing Reviews) aligning marketing activities with performance insights. Define Campaign reporting framework pre, during post Campaign: Pre- Campaign, provide insights and direction on business potential and market coverage, including key performance indicators based on campaign objectives and strategy & business potential. Ensure tracking system is properly set up. During-campaign, monitor performance closely on a regular cadence, create mid-campaign report and provide early reads and insights in order to make any adjustments and optimisation to the program. Post-campaign, build and share the post-campaign report (slides & Spark) and insights, review final performance and provide recommendations for future campaigns. Develop credibility and relationships with key internal stakeholders in Global and EMEA teams.  Skills  5+ years of work experience in strategic marketing. Highly customer-centric with experience working on B2C offerings preferred. Strong analytical and quantitative orientation. Expert at the creation and use of Excel pivot tables to drive analytics. Strong knowledge of online marketing strategies. customer-centric strategic mindset. Strong executive presence and engagement skills. Excellent organizational, written and verbal communication. Strong project coordination skills and desire to improve processes. Results-oriented, self-starter, and a high degree of motivation to go above and beyond the task at hand. Highly collaborative and ability to work within a matrixed organization through relationship-building. "
